,id,token0,token1,feeTier,totalValueLockedUSD,fees_usd_t90d,volume_usd_t90d,tvl_share,pool,fee_apr_plus10m
504,0x97d0a9a96713c6ec2ef8ba845d720b1a01c7d37d,LQTY,USDC,0.003,169013.95345848156,269.9331072,89977.70240000001,4.372813424814148e-05,LQTY/USDC - 0.3%,0.0001076533789356259
505,0x9ca37e40aef2686a6f44cb4e2708849231ef3878,WSTRAX,WETH,0.003,168541.64440355106,5890.796786994894,1963598.928998298,4.360593609030898e-05,WSTRAX/WETH - 0.3%,0.002349447390943668
506,0x098e0b9de8ed064006d9dda99b4e3d1604801cea,UTU,WETH,0.003,167295.56069436463,8663.283483615583,2887761.161205195,4.3283543088993196e-05,UTU/WETH - 0.3%,0.003455631564125632
507,0x9f900d76718861f855a8ac625184876cc04780d2,TBAC,WETH,0.0005,166095.96559637564,0.5155229210241847,1031.0458420483694,4.297317785337281e-05,TBAC/WETH - 0.05%,2.0565729985741005e-07
508,0xc05bdd0c4b0d37b84207522bcc998eedc9deecee,WETH,HYVE,0.003,165696.5609234101,17701.244390906257,5900414.796968751,4.286984188139306e-05,WETH/HYVE - 0.3%,0.007061825975185857
509,0xe8b977aa5a9303fa94818441d78575e0f697ae72,WETH,UOS,0.01,165621.50360072515,64360.70357444407,6436070.357444408,4.285042267596349e-05,WETH/UOS - 1.0%,0.02567658149069849
510,0x2028d7ef0223c45cadbf05e13f1823c1228012bf,FEI,WETH,0.003,164391.5770355506,4.804273026579856,1601.4243421932852,4.253220993164993e-05,FEI/WETH - 0.3%,1.916887598798526e-06
511,0x38b73128e790575b72f1b957bba981b08ee85f86,VADER,WETH,0.01,162824.90584340645,542614.2702904502,54261427.029045016,4.212687293543793e-05,VADER/WETH - 1.0%,0.2165345107082244
512,0x0e2c4be9f3408e5b1ff631576d946eb8c224b5ed,WETH,GRT,0.003,162723.37658188908,66927.35864706019,22309119.549020067,4.210060477776871e-05,WETH/GRT - 0.3%,0.026708157953526383
513,0x820e5ab3d952901165f858703ae968e5ea67eb31,OXT,WETH,0.01,161979.3684675976,225855.29088708383,22585529.08870839,4.190811128218619e-05,OXT/WETH - 1.0%,0.09013683717474961
514,0xe2c5d82523e0e767b83d78e2bfc6fcd74d1432ef,WETH,TRIBE,0.01,161182.77406507474,26524.172797324787,2652417.2797324792,4.170201239944871e-05,WETH/TRIBE - 1.0%,0.010586391243671292
515,0x584ec2562b937c4ac0452184d8d83346382b5d3a,OHM,WETH,0.01,161128.74500111162,637266.8574186891,63726685.74186891,4.16880337301499e-05,OHM/WETH - 1.0%,0.25434882372170076
516,0xe0fd4c0f10be3211a1b25dab6cb0078a248c08bf,WETH,LIX,0.01,160435.18111191687,501613.2211264756,50161322.11264756,4.150859141644873e-05,WETH/LIX - 1.0%,0.20021979860285546
517,0x2fa7361d7e3b812375604681eb155a97b4d65e9e,aKLIMA,WETH,0.003,157076.11628580472,261638.9948137461,87212998.2712487,4.063951738641295e-05,aKLIMA/WETH - 0.3%,0.10446820195287405
518,0xf2c055823dd744234694815c6c42f2956191ce1f,ICHI,USDC,0.01,156841.9848365986,41433.84210441,4143384.2104410008,4.0578941728408996e-05,ICHI/USDC - 1.0%,0.016544241683135234
519,0xe7477f50eca9f4f0d73717b455994b0086dc544f,FUSE,WETH,0.01,154695.53453393426,327530.1310736058,32753013.107360575,4.002360138477916e-05,FUSE/WETH - 1.0%,0.13080812104804937
520,0x575e96f61656b275ca1e0a67d9b68387abc1d09c,CVX,USDC,0.01,154195.87443455786,182796.37861287003,18279637.861287,3.989432682811164e-05,CVX/USDC - 1.0%,0.0730083285753185
521,0x203d789bfd07ca0c9675d9b5ffa04d658f1467fe,indexUSDC,USDC,0.003,153796.73578082034,4179.538570626,1393179.523542,3.9791059681955306e-05,indexUSDC/USDC - 0.3%,0.001669360861837021
522,0xa961ba3daa48376d3f6d7d6420be34c3a11d232e,BANANA,WETH,0.01,153385.23964838343,128010.83021308365,12801083.021308366,3.968459534718538e-05,BANANA/WETH - 1.0%,0.051131225831428116
523,0x5b781915b6b610a1aba8135ad5df084ffe528da4,WETH,SUPER,0.01,152708.40579366242,272763.35730905377,27276335.73090537,3.9509481511568266e-05,WETH/SUPER - 1.0%,0.10895683248968904
524,0x5598931bfbb43eec686fa4b5b92b5152ebadc2f6,COMP,WETH,0.01,147856.60752808358,162077.1191195063,16207711.91195063,3.825420003000556e-05,COMP/WETH - 1.0%,0.06477355625876036
525,0xcd9dab5e666de980cecdc180cb31f296733e2587,AKITA,WETH,0.01,147690.56085444166,70705.17873674394,7070517.873674394,3.821123960521286e-05,AKITA/WETH - 1.0%,0.028257540837765355
526,0x99c7550be72f05ec31c446cd536f8a29c89fdb77,MATIC,WETH,0.01,147097.51396648088,93997.38113298987,9399738.113298986,3.805780355214425e-05,MATIC/WETH - 1.0%,0.037568536296893745
527,0x3aaf77ba7da262e34dffb9b10fc6777bfda79ab7,USDC,ICSA,0.01,145756.52823264492,15765.308806330004,1576530.8806329998,3.771085702498413e-05,USDC/ICSA - 1.0%,0.0063018549219708295
528,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,WBTC,USDC,0.0005,144012.2602308544,5942.543566104152,11885087.132208304,3.725957129510047e-05,WBTC/USDC - 0.05%,0.002375816881465022
529,0x565a7439e64ccbf398598ed994746c1ad6a417ad,RNG,COMP,0.003,143105.74641353497,5470.757630595693,1823585.876865231,3.7025033512329324e-05,RNG/COMP - 0.3%,0.002187393295165568
