,date,protocol,chain,usd_value,name,category,parentProtocol,net_dollar_flow,cumul_net_dollar_flow,rank_desc,pct_of_tvl,flow_direction,abs_cumul_net_dollar_flow
13359,2022-09-12 17:59:07,mstable,Ethereum,37687728.33029,mStable,CDP,mStable,-4618.81347048805,-2021801.5929785604,1,-0.012255483880613373,-1,2021801.5929785604
12877,2022-09-12 17:59:02,uniswap,Optimism,57460477.54901,Uniswap,Dexes,Uniswap,-1073403.939580001,-2058170.7601338027,1,-1.8680734747887504,-1,2058170.7601338027
13140,2022-09-12 17:59:07,dxsale,Binance,83415451.63691999,DxSale,Launchpad,DxSale,-271229.87642543216,-2069606.9166553984,1,-0.3251554371557041,-1,2069606.9166553984
13320,2022-09-12 17:59:07,lyra,Optimism,19055598.53385,Lyra,Options,Lyra,-168016.78117480184,-2082585.3560698684,1,-0.8817187288887308,-1,2082585.3560698684
12488,2022-09-12 17:59:02,benqi-staked-avax,Avalanche,102830277.80215,Benqi Staked Avax,Liquid Staking,Benqi,-146844.35159785528,-2090447.9460495762,1,-0.142802640172178,-1,2090447.9460495762
12438,2022-09-12 17:59:02,aave-v3,Polygon,72646307.44556,AAVE V3,Lending,AAVE,-476590.66791012866,-2189711.7475871,1,-0.6560425225566741,-1,2189711.7475871
13002,2022-09-12 17:59:07,beefy,Arbitrum,32287190.27,Beefy,Yield Aggregator,Beefy,-1392554.5100000016,-2218794.051473137,1,-4.313024757976259,-1,2218794.051473137
12415,2022-09-12 17:56:59,dforce,Ethereum,4336012.05642,dForce,Lending,dForce,9555.081748910308,-2271439.7146056765,1,0.22036566376153943,-1,2271439.7146056765
12863,2022-09-12 17:59:02,thetanuts-finance,Ethereum,6806276.98003,Thetanuts Finance,Options,Thetanuts Finance,0.0,-2327001.4071454676,1,0.0,-1,2327001.4071454676
12557,2022-09-12 17:59:02,dfx-finance,Ethereum,13464882.33173,DFX Finance,Dexes,DFX Finance,-47052.690400098974,-2388332.7258864,1,-0.3494474681685059,-1,2388332.7258864
12456,2022-09-12 17:59:02,apeswap-amm,Binance,48359603.89282,ApeSwap AMM,Dexes,ApeSwap,22676.98139744495,-2478350.889386066,1,0.046892405172929516,-1,2478350.889386066
