,date,token,token_value,usd_value,protocol,chain,last_token_value
931,2022-10-15 00:00:00,SETH,,,uniswap,Optimism,
12163,2022-10-15 00:00:00,PERP,,,uniswap,Optimism,
15439,2022-10-15 00:00:00,EQZ,,,uniswap,Optimism,
14971,2022-10-15 00:00:00,THALES,,,uniswap,Optimism,
1399,2022-10-15 00:00:00,0XBTC,,,uniswap,Optimism,
2803,2022-10-15 00:00:00,UNI,,,uniswap,Optimism,
11227,2022-10-15 00:00:00,KROM,,,uniswap,Optimism,
18247,2022-10-15 00:00:00,AELIN,,,uniswap,Optimism,
7015,2022-10-15 00:00:00,RGT,,,uniswap,Optimism,
9355,2022-10-15 00:00:00,SARCO,,,uniswap,Optimism,
15907,2022-10-15 00:00:00,OP,,,uniswap,Optimism,
463,2022-10-15 00:00:00,USDT,51838718.37791,51890557.09629,uniswap,Optimism,52258276.02856
16375,2022-10-15 00:00:00,CRV,,,uniswap,Optimism,
3739,2022-10-15 00:00:00,SUSD,,,uniswap,Optimism,
4207,2022-10-15 00:00:00,SLINK,,,uniswap,Optimism,
5143,2022-10-15 00:00:00,LINK,,,uniswap,Optimism,
13099,2022-10-15 00:00:00,DHT,,,uniswap,Optimism,
18715,2022-10-15 00:00:00,LUSD,,,uniswap,Optimism,
8887,2022-10-15 00:00:00,BITANT,,,uniswap,Optimism,
10759,2022-10-15 00:00:00,WPC,,,uniswap,Optimism,
12631,2022-10-15 00:00:00,SPANK,,,uniswap,Optimism,
6546,2022-10-14 00:00:00,SNX,,,uniswap,Optimism,
16842,2022-10-14 00:00:00,WSTETH,,,uniswap,Optimism,
13098,2022-10-14 00:00:00,DHT,,,uniswap,Optimism,
12162,2022-10-14 00:00:00,PERP,,,uniswap,Optimism,
18246,2022-10-14 00:00:00,AELIN,,,uniswap,Optimism,
14034,2022-10-14 00:00:00,XCHF,,,uniswap,Optimism,
13566,2022-10-14 00:00:00,EST,,,uniswap,Optimism,
2334,2022-10-14 00:00:00,DAI,,,uniswap,Optimism,
15906,2022-10-14 00:00:00,OP,,,uniswap,Optimism,
