,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
272409,2023-01-06 00:00:00,qidao,Arbitrum,955565.2972899999,376.561100211417,376.561100211417,1,1,885951.3595185843,1,885951.3595185843,376.561100211417,1,376.561100211417,-3147.1882793081436,-1,3147.1882793081436,-5928.291664599116,-1,5928.291664599116,-184137.52549925575,-1,184137.52549925575,-134353.0874953412,-1,134353.0874953412,885951.3595185843,1,885951.3595185843,0.039407155249290754
272410,2023-01-06 00:00:00,qidao,Avalanche,1668882.8533,0.0,0.0,1,1,1353207.9347740426,1,1353207.9347740426,0.0,1,0.0,3660.3567330184164,1,3660.3567330184164,-39862.80411633296,-1,39862.80411633296,-186344.79271289377,-1,186344.79271289377,-464683.3572208997,-1,464683.3572208997,1346147.5187805945,1,1346147.5187805945,0.0
272411,2023-01-06 00:00:00,qidao,Binance,623939.2683799999,8605.844002092945,8605.844002092945,1,1,607333.404238876,1,607333.404238876,8605.844002092945,1,8605.844002092945,-15787.258697042711,-1,15787.258697042711,111089.7734849642,1,111089.7734849642,-77723.26335054963,-1,77723.26335054963,-939445.7767647355,-1,939445.7767647355,607333.404238876,1,607333.404238876,1.3792759068422182
272412,2023-01-06 00:00:00,qidao,Ethereum,5746688.71571,159.19942061063625,159.19942061063625,1,1,5407410.947782325,1,5407410.947782325,159.19942061063625,1,159.19942061063625,17329.003782787157,1,17329.003782787157,566913.3044993528,1,566913.3044993528,1030481.2482913438,1,1030481.2482913438,5407410.947782325,1,5407410.947782325,5407410.947782325,1,5407410.947782325,0.0027702809128224595
272413,2023-01-06 00:00:00,qidao,Fantom,10018708.61214,-79116.28562317375,-79116.28562317375,1,1,-2144456.2958701937,-1,2144456.2958701937,-79116.28562317375,-1,79116.28562317375,-89715.66934222574,-1,89715.66934222574,-1119607.2058559265,-1,1119607.2058559265,1741274.3135178138,1,1741274.3135178138,-7483406.430363531,-1,7483406.430363531,-2374474.1010233737,-1,2374474.1010233737,-0.7896854643252718
272414,2023-01-06 00:00:00,qidao,Harmony,4062.8396,0.0,0.0,1,1,-15562.550885793926,-1,15562.550885793926,0.0,1,0.0,-10.539529989276,-1,10.539529989276,3.6465074790662655,1,3.6465074790662655,88.82123690391035,1,88.82123690391035,-4196.8870055038815,-1,4196.8870055038815,-14999.760938743866,-1,14999.760938743866,0.0
272406,2023-01-06 00:00:00,pooltogether,Ethereum,5335176.02308,-152.038852885842,-152.038852885842,1,1,-29532100.845526814,-1,29532100.845526814,-152.038852885842,-1,152.038852885842,-12369.584121422502,-1,12369.584121422502,-544774.1541540384,-1,544774.1541540384,-4935435.965626726,-1,4935435.965626726,-9491624.892370079,-1,9491624.892370079,-29532100.845526814,-1,29532100.845526814,-0.0028497438927623216
272443,2023-01-06 00:00:00,renvm,Binance,274483.51774,0.0,0.0,1,1,-7467516.459532534,-1,7467516.459532534,0.0,1,0.0,-6350.56366493552,-1,6350.56366493552,-127276.45827358552,-1,127276.45827358552,-1651324.1768461126,-1,1651324.1768461126,-2039148.2650776068,-1,2039148.2650776068,-7415863.486584787,-1,7415863.486584787,0.0
272505,2023-01-06 00:00:00,solo-top,Binance,8149301.8637,32888.40450999979,32888.40450999979,1,1,-54659265.05061,-1,54659265.05061,32888.40450999979,1,32888.40450999979,116810.92564000003,1,116810.92564000003,1248409.7921699993,1,1248409.7921699993,-5631413.01473,-1,5631413.01473,-6821769.404149999,-1,6821769.404149999,-54154986.92774,-1,54154986.92774,0.4035732760924821
272445,2023-01-06 00:00:00,renvm,Fantom,246880.96763,0.0,0.0,1,1,-11876220.951471016,-1,11876220.951471016,0.0,1,0.0,-2442.3606538184686,-1,2442.3606538184686,-169392.01955512317,-1,169392.01955512317,-702446.6759191959,-1,702446.6759191959,-2273650.422639002,-1,2273650.422639002,-11943198.691437844,-1,11943198.691437844,0.0
