,date,native_fees,price_usd,fees_usd
29,2022-08-10,121181.03108588995,0.15174910361521854,18389.112842451734
30,2022-08-11,122705.81023417451,0.15204051027236629,18656.25400138804
31,2022-08-12,106782.85306255634,0.15574938646801118,16631.363849796937
32,2022-08-13,117176.85358189695,0.15481367694046816,18140.579555328335
33,2022-08-14,109809.61489897934,0.15293451022468665,16793.67967253686
34,2022-08-15,115613.08399472773,0.15223294395776757,17600.120136554062
35,2022-08-16,99295.61031159911,0.15141189234134994,15034.536258468483
36,2022-08-17,96356.47671573763,0.143468132591699,13824.083777522404
37,2022-08-18,88495.14529445319,0.1410384975002747,12481.222328398182
38,2022-08-19,105508.37843374036,0.12294826524058994,12972.07209677605
39,2022-08-20,77636.34199857687,0.12515268942890734,9716.396998544325
40,2022-08-21,79367.5365037801,0.12835535188722247,10187.248076364669
41,2022-08-22,95796.89702386183,0.12800838820056354,12262.806382639916
42,2022-08-23,113099.42487795651,0.1289630318490944,14585.644732650166
43,2022-08-24,95215.42734535022,0.1288530443062524,12268.79767836917
44,2022-08-25,94743.6259388262,0.13186286814009004,12493.166254285454
45,2022-08-26,107099.25795365962,0.12065382701870164,12921.935342972154
46,2022-08-27,80596.03628331675,0.12058453853858621,9718.6358432629
47,2022-08-28,75288.51699686349,0.11884800420564301,8947.889984679858
48,2022-08-29,82869.40090882612,0.12328017537898019,10216.154277591104
49,2022-08-30,88784.37789569254,0.12110676483403661,10752.388774749874
50,2022-08-31,114424.45815364482,0.1218965533811011,13947.947071429335
51,2022-09-01,123734.58091611984,0.12225725706369232,15127.450466730303
52,2022-09-02,101255.56688557839,0.11970492337029866,12120.789874854312
53,2022-09-03,88806.72268254317,0.11936493148247052,10600.408368184526
54,2022-09-04,92292.2419312956,0.1202137109225897,11094.792891926481
55,2022-09-05,93343.83132965001,0.12022278951269784,11222.055786253284
56,2022-09-06,101299.78420813885,0.11239677436079754,11385.768988439664
57,2022-09-07,91613.94483545754,0.11368300037124486,10414.948124740526
58,2022-09-08,96476.86886341588,0.11575145775649509,11167.338210722599
59,2022-09-09,92702.0328537272,0.12012718144309618,11136.033920763552
60,2022-09-10,82968.09765215729,0.1242855750760447,10311.737729663802
61,2022-09-11,82833.07524039467,0.12292678565368673,10182.4036851117
62,2022-09-12,84006.24824904469,0.12635533767555818,10614.63786436481
63,2022-09-13,88412.43790912692,0.11042818889739497,9763.225394308272
64,2022-09-14,79867.89808201739,0.11185165341657699,8933.356455380303
65,2022-09-15,101915.4090898717,0.10598918241846328,10801.930885278722
66,2022-09-16,100052.433294299,0.1058535362074847,10590.903870365026
67,2022-09-17,86787.11087148672,0.11085875252461037,9621.110846428068
68,2022-09-18,86654.89001358712,0.10248273335266278,8880.62998696677
69,2022-09-19,96431.36602149376,0.10464012315898176,10090.590016877955
70,2022-09-20,83734.7030971583,0.10416430385663641,8722.167056757631
71,2022-09-21,104986.25677022713,0.10241690287788505,10752.367263149054
72,2022-09-22,97375.32377897055,0.10922615749174916,10635.932450891903
73,2022-09-23,122436.58293921873,0.12247964719331138,14995.989481950117
74,2022-09-24,95144.75804759261,0.11924507052348271,11345.543383324879
75,2022-09-25,91506.32644039686,0.11579002355440235,10595.519693910383
76,2022-09-26,95953.97803792308,0.11525090705172172,11058.78300409162
77,2022-09-27,99512.08483390923,0.11190376010963123,11135.77646926305
78,2022-09-28,83521.77268705887,0.11240192656538887,9388.008160181893
79,2022-09-29,122102.4452822886,0.11172329429515442,13641.687428431118
80,2022-09-30,130440.79362068338,0.10992447712358354,14338.636034338891
81,2022-10-01,97891.11483915948,0.1110898294462245,10874.707251783002
82,2022-10-02,96401.00458105054,0.10979119885470369,10583.981863751322
83,2022-10-03,98920.92914421487,0.10956895838444504,10838.663168753115
84,2022-10-04,85734.33419985598,0.11182376926289203,9587.136405472367
85,2022-10-05,104201.80629982363,0.11043036675353905,11507.04368607076
86,2022-10-06,82449.65296703238,0.10924363086642572,9007.099453795387
87,2022-10-07,95500.44790964805,0.10677878042423804,10197.421357760692
88,2022-10-08,81293.33751088192,0.10695870479819146,8695.030088886164
89,2022-10-09,99216.64956164309,0.10698049087333301,10614.245872912039
