name	chain	nativeCurrency	chainId	explorer
,('Exosama Network'	,'EXN'	,'SAMA'	,2109	,'https://explorer.exosama.com')
,('BOSagora Mainnet'	,'ETH'	,'BOA'	,2151	,'https://boascan.io')
,('Findora Mainnet'	,'Findora'	,'FRA'	,2152	,'https://evm.findorascan.io')
,('Findora Testnet'	,'Testnet-anvil'	,'FRA'	,2153	,'https://testnet-anvil.evm.findorascan.io')
,('Findora Forge'	,'Testnet-forge'	,'FRA'	,2154	,'https://testnet-forge.evm.findorascan.io')
,('Bitcoin EVM'	,'Bitcoin EVM'	,'eBTC'	,2203	,'https://explorer.bitcoinevm.com')
,('Evanesco Mainnet'	,'EVA'	,'EVA'	,2213	,'https://explorer.evanesco.org')
,('Kava EVM Testnet'	,'KAVA'	,'TKAVA'	,2221	,'https://explorer.testnet.kava.io')
,('Kava EVM'	,'KAVA'	,'KAVA'	,2222	,'https://explorer.kava.io')
,('VChain Mainnet'	,'VChain'	,'VNDT'	,2223	,'https://scan.vcex.xyz')
,('Altcoinchain'	,'mainnet'	,'ALT'	,2330	,'https://expedition.altcoinchain.org')
,('Kortho Mainnet'	,'Kortho Chain'	,'KTO'	,2559	,'')
,('TechPay Mainnet'	,'TPC'	,'TPC'	,2569	,'https://tpcscan.com')
,('Redlight Chain Mainnet'	,'REDLC'	,'REDLC'	,2611	,'https://redlightscan.finance')
,('EZChain C-Chain Mainnet'	,'EZC'	,'EZC'	,2612	,'https://cchain-explorer.ezchain.com')
,('EZChain C-Chain Testnet'	,'EZC'	,'EZC'	,2613	,'https://testnet-cchain-explorer.ezchain.com')
,('BitYuan Mainnet'	,'BTY'	,'BTY'	,2999	,'https://mainnet.bityuan.com')
,('CENNZnet Rata'	,'CENNZnet'	,'CPAY'	,3000	,'')
,('CENNZnet Nikau'	,'CENNZnet'	,'CPAY'	,3001	,'https://www.uncoverexplorer.com/?network=Nikau')
,('Orlando Chain'	,'ORL'	,'ORL'	,3031	,'https://orlscan.com')
,('Filecoin - Buildernet'	,'FIL'	,'FIL'	,3141	,'')
,('Debounce Subnet Testnet'	,'Debounce Network'	,'DB'	,3306	,'https://explorer.debounce.network')
,('ZCore Testnet'	,'Beach'	,'ZCR'	,3331	,'')
,('Web3Q Testnet'	,'Web3Q'	,'W3Q'	,3333	,'https://explorer.testnet.web3q.io')
,('Web3Q Galileo'	,'Web3Q'	,'W3Q'	,3334	,'https://explorer.galileo.web3q.io')
,('Paribu Net Mainnet'	,'PRB'	,'PRB'	,3400	,'https://explorer.paribu.network')
,('Paribu Net Testnet'	,'PRB'	,'PRB'	,3500	,'https://testnet.paribuscan.com')
,('JFIN Chain'	,'JFIN'	,'jfin'	,3501	,'https://exp.jfinchain.com')
,('Pandonet'	,'Pando'	,'PTX'	,3601	,'https://explorer.pandoproject.org')
,('Pando Testnet'	,'Pando'	,'PTX'	,3602	,'https://testnet.explorer.pandoproject.org')
,('Metacodechain'	,'metacode'	,'J'	,3666	,'https://j.blockcoach.com:8089')
,('Bittex Mainnet'	,'BTX'	,'BTX'	,3690	,'https://bittexscan.com')
,('Crossbell'	,'Crossbell'	,'CSB'	,3737	,'https://scan.crossbell.io')
,('DYNO Mainnet'	,'DYNO'	,'DYNO'	,3966	,'https://dynoscan.io')
,('DYNO Testnet'	,'DYNO'	,'tDYNO'	,3967	,'https://testnet.dynoscan.io')
,('YuanChain Mainnet'	,'YCC'	,'YCC'	,3999	,'https://mainnet.yuan.org')
,('Fantom Testnet'	,'FTM'	,'FTM'	,4002	,'https://testnet.ftmscan.com')
,('Boba Network Bobaopera Testnet'	,'Bobaopera Testnet'	,'BOBA'	,4051	,'https://blockexplorer.testnet.bobaopera.boba.network')
,('AIOZ Network Testnet'	,'AIOZ'	,'AIOZ'	,4102	,'https://testnet.explorer.aioz.network')
,('PHI Network V1'	,'PHI V1'	,'Φ'	,4181	,'https://explorer.phi.network')
,('Boba Network Bobafuji Testnet'	,'Bobafuji Testnet'	,'BOBA'	,4328	,'https://blockexplorer.testnet.avax.boba.network')
,('IoTeX Network Mainnet'	,'iotex.io'	,'IOTX'	,4689	,'https://iotexscan.io')
,('IoTeX Network Testnet'	,'iotex.io'	,'IOTX'	,4690	,'https://testnet.iotexscan.io')
,('Venidium Testnet'	,'XVM'	,'XVM'	,4918	,'https://evm-testnet.venidiumexplorer.com')
,('Venidium Mainnet'	,'XVM'	,'XVM'	,4919	,'https://evm.venidiumexplorer.com')
,('TLChain Network Mainnet'	,'TLC'	,'TLC'	,5177	,'https://explorer.tlchain.network')
,('EraSwap Mainnet'	,'ESN'	,'ES'	,5197	,'')
,('Humanode Mainnet'	,'HMND'	,'HMND'	,5234	,'')
,('Firechain Mainnet'	,'FIRE'	,'FIRE'	,5290	,'')
,('Uzmi Network Mainnet'	,'UZMI'	,'UZMI'	,5315	,'')
,('Nahmii Mainnet'	,'Nahmii'	,'ETH'	,5551	,'https://explorer.nahmii.io')
,('Nahmii Testnet'	,'Nahmii'	,'ETH'	,5553	,'https://explorer.testnet.nahmii.io')
,('Syscoin Tanenbaum Testnet'	,'SYS'	,'tSYS'	,5700	,'https://tanenbaum.io')
,('Digest Swarm Chain'	,'DSC'	,'DGCC'	,5777	,'https://explorer.digestgroup.ltd')
,('Ontology Testnet'	,'Ontology'	,'ONG'	,5851	,'https://explorer.ont.io/testnet')
,('Wegochain Rubidium Mainnet'	,'RBD'	,'RBD'	,5869	,'https://scan2.wegochain.io')
,('Tres Leches Testnet'	,'TresLeches'	,'TRES'	,6065	,'https://explorer-test.tresleches.finance')
,('Tres Leches Mainnet'	,'TresLeches'	,'TRES'	,6066	,'https://explorer.tresleches.finance')
,('Pixie Chain Mainnet'	,'PixieChain'	,'PIX'	,6626	,'https://scan.chain.pixie.xyz')
,('Tomb Chain Mainnet'	,'Tomb Chain'	,'TOMB'	,6969	,'https://tombscout.com')
,('PolySmartChain'	,'PSC'	,'PSC'	,6999	,'')
,('ZetaChain Mainnet'	,'ZetaChain'	,'ZETA'	,7000	,'https://explorer.mainnet.zetachain.com')
,('ZetaChain Athens Testnet'	,'ZetaChain'	,'aZETA'	,7001	,'https://explorer.athens.zetachain.com')
,('Ella the heart'	,'ella'	,'ELLA'	,7027	,'https://ella.network')
,('Planq Mainnet'	,'Planq'	,'PLQ'	,7070	,'https://evm.planq.network')
,('Shyft Mainnet'	,'SHYFT'	,'SHYFT'	,7341	,'https://bx.shyft.network')
,('Canto'	,'Canto'	,'CANTO'	,7700	,'https://evm.explorer.canto.io')
,('Rise of the Warbots Testnet'	,'nmactest'	,'NMAC'	,7777	,'https://testnet.avascan.info/blockchain/2mZ9doojfwHzXN3VXDQELKnKyZYxv7833U8Yq5eTfFx3hxJtiy')
,('Hazlor Testnet'	,'SCAS'	,'TSCAS'	,7878	,'https://explorer.hazlor.com')
,('Teleport'	,'Teleport'	,'TELE'	,8000	,'https://evm-explorer.teleport.network')
,('Teleport Testnet'	,'Teleport'	,'TELE'	,8001	,'https://evm-explorer.testnet.teleport.network')
,('MDGL Testnet'	,'MDGL'	,'MDGLT'	,8029	,'')
,('Shardeum Liberty 1.6'	,'Shardeum'	,'SHM'	,8080	,'https://explorer-liberty10.shardeum.org')
,('Shardeum Liberty 2.0'	,'Shardeum'	,'SHM'	,8081	,'https://explorer-liberty20.shardeum.org')
,('Qitmeer Network Testnet'	,'MEER'	,'MEER-T'	,8131	,'https://testnet.qng.meerscan.io')
,('Klaytn Mainnet Cypress'	,'KLAY'	,'KLAY'	,8217	,'https://scope.klaytn.com')
,('KorthoTest'	,'Kortho'	,'KTO'	,8285	,'')
,('Toki Network'	,'TOKI'	,'TOKI'	,8654	,'')
,('Toki Testnet'	,'TOKI'	,'TOKI'	,8655	,'')
,('TOOL Global Mainnet'	,'OLO'	,'OLO'	,8723	,'https://www.olo.network')
,('TOOL Global Testnet'	,'OLO'	,'OLO'	,8724	,'')
,('Alph Network'	,'ALPH'	,'ALPH'	,8738	,'https://explorer.alph.network')
,('Ambros Chain Testnet'	,'ambroschain'	,'AMBROS'	,8888	,'https://testnet.ambrosscan.com')
,('Vyvo Smart Chain'	,'VSC'	,'VSC'	,8889	,'')
,('Mammoth Mainnet'	,'MMT'	,'MMT'	,8898	,'https://mmtscan.io')
,('bloxberg'	,'bloxberg'	,'U+25B3'	,8995	,'')
,('Evmos Testnet'	,'Evmos'	,'tEVMOS'	,9000	,'https://evm.evmos.dev')
,('Evmos'	,'Evmos'	,'EVMOS'	,9001	,'https://evm.evmos.org')
,('BerylBit Mainnet'	,'BRB'	,'BRB'	,9012	,'https://explorer.berylbit.io')
,('Genesis Coin'	,'Genesis'	,'GNC'	,9100	,'')
,('Rinia Testnet'	,'FIRE'	,'FIRE'	,9170	,'')
,('Rangers Protocol Testnet Robin'	,'Rangers'	,'tRPG'	,9527	,'https://robin-rangersscan.rangersprotocol.com')
,('QEasyWeb3 Testnet'	,'QET'	,'QET'	,9528	,'https://www.qeasyweb3.com')
,('Boba Network BNB Testnet'	,'Boba BNB Testnet'	,'BOBA'	,9728	,'https://blockexplorer.testnet.bnb.boba.network')
,('myOwn Testnet'	,'myOwn'	,'MYN'	,9999	,'')
,('Smart Bitcoin Cash'	,'smartBCH'	,'BCH'	,10000	,'')
,('Smart Bitcoin Cash Testnet'	,'smartBCHTest'	,'BCHT'	,10001	,'')
,('Gon Chain'	,'GonChain'	,'GT'	,10024	,'https://gonscan.com')
,('SJATSH'	,'ETH'	,'ETH'	,10086	,'')
,('Blockchain Genesis Mainnet'	,'GEN'	,'GEN'	,10101	,'')
,('Chiado Testnet'	,'CHI'	,'xDAI'	,10200	,'https://blockscout.chiadochain.net')
,('0XTade'	,'0XTade Chain'	,'0XT'	,10248	,'https://www.0xtscan.com')
,('Numbers Mainnet'	,'NUM'	,'NUM'	,10507	,'https://mainnet.num.network')
,('Numbers Testnet'	,'NUM'	,'NUM'	,10508	,'https://testnet.num.network')
,('CryptoCoinPay'	,'CCP'	,'CCP'	,10823	,'https://cryptocoinpay.info')
,('Quadrans Blockchain'	,'QDC'	,'QDC'	,10946	,'https://explorer.quadrans.io')
,('Quadrans Blockchain Testnet'	,'tQDC'	,'tQDC'	,10947	,'https://explorer.testnet.quadrans.io')
,('Astra'	,'Astra'	,'ASA'	,11110	,'https://explorer.astranaut.io')
,('WAGMI'	,'WAGMI'	,'WGM'	,11111	,'https://subnets-test.avax.network/wagmi')
,('Astra Testnet'	,'Astra'	,'tASA'	,11115	,'https://explorer.astranaut.dev')
,('Shyft Testnet'	,'SHYFTT'	,'SHYFTT'	,11437	,'https://bx.testnet.shyft.network')
