,date,prices,total_volumes,symbol,prices_30dma,prices_30d_vwap,prices_90dma,prices_90d_vwap,prices_180dma,prices_180d_vwap,prices_365dma,prices_365d_vwap
177,2022-11-24 00:00:00,0.9331321721596594,80267988.38339305,op,1.016840427530163,1.0678593720818297,0.982908647360248,1.0624253031183584,0.9878298086137092,1.191702545221864,0.9878298086137092,1.191702545221864
176,2022-11-23 00:00:00,0.8577572364113905,59351994.93740606,op,1.0138603410538027,1.0642355580085299,0.9856489947828737,1.0644620175423534,0.9881388348083647,1.1924084140262585,0.9881388348083647,1.1924084140262585
175,2022-11-22 00:00:00,0.8480006573977423,80220064.20635337,op,1.0131087192629173,1.061627080790725,0.9897457240603255,1.0678568865980242,0.9888796393447112,1.1930852883727505,0.9888796393447112,1.1930852883727505
174,2022-11-21 00:00:00,0.8486920426004717,54452045.95716397,op,1.0097990117628717,1.0608369412836751,0.9951356994972175,1.0751207106402605,0.989684662098694,1.1940312595187272,0.989684662098694,1.1940312595187272
173,2022-11-20 00:00:00,0.9315729658858393,43849646.85396924,op,1.005906435535199,1.0586449042035813,0.9986410371342411,1.0771390658979776,0.9904949645096033,1.1946750406251712,0.9904949645096033,1.1946750406251712
172,2022-11-19 00:00:00,0.9176247826586492,59958761.7612948,op,0.9972494779226501,1.0563566933392319,1.0014228574313235,1.0788564666321159,0.9908355540970238,1.195070608449678,0.9908355540970238,1.195070608449678
171,2022-11-18 00:00:00,0.8902117305754123,56168905.43049639,op,0.9896236832094177,1.0542163119232733,1.0037913831166354,1.0805090575134997,0.9912611981170144,1.1956421597051266,0.9912611981170144,1.1956421597051266
170,2022-11-17 00:00:00,0.9011905089736376,70301355.68185164,op,0.9846802965792034,1.0522598891281165,1.007453063984801,1.084812991271313,0.9918521306757373,1.1962327298962225,0.9918521306757373,1.1962327298962225
169,2022-11-16 00:00:00,0.9303156177837254,74090398.95448269,op,0.9801155771381086,1.0516471281774216,1.0107703926217226,1.086996183837084,0.9923854343328083,1.1969484833002182,0.9923854343328083,1.1969484833002182
168,2022-11-15 00:00:00,0.9244704799960879,128922332.56871612,op,0.9723983716949164,1.051350071265427,1.0150690325741205,1.0914599764241681,0.9927527113538088,1.1976319273137177,0.9927527113538088,1.1976319273137177
167,2022-11-14 00:00:00,0.9032864494563604,96417839.52392705,op,0.964472434336442,1.0522065698462428,1.0209331398274313,1.0990234751364716,0.9931591532071287,1.1988557437117464,0.9931591532071287,1.1988557437117464
166,2022-11-13 00:00:00,0.9165239682963657,75828250.85006393,op,0.9582591531319629,1.052106905610237,1.0280353908188513,1.106704100444663,0.9936973131098278,1.1998494156402137,0.9936973131098278,1.1998494156402137
165,2022-11-12 00:00:00,1.0170294923248537,201089096.30988798,op,0.9522316750826757,1.049035309476548,1.0338628783897954,1.1125457907797378,0.9941622127773788,1.200600506913916,0.9941622127773788,1.200600506913916
