,date,protocol,chain,usd_value,name,category,parent_protocol,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,daily_avg_tvl_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,daily_avg_tvl_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,daily_avg_tvl_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,daily_avg_tvl_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,daily_avg_tvl_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,daily_avg_tvl_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
335309,2023-01-25 00:00:00,portal*,Ethereum,197649001.55,Portal,Bridge,Portal,-3268683.280000001,-3268683.280000001,1,1,-2220801139.46,-1,2220801139.46,-3268683.280000001,197649001.55,-1,3268683.280000001,-627937.9799999893,195220794.62999997,-1,627937.9799999893,31360977.640000015,178945931.47066668,1,31360977.640000015,-167946239.53999996,216317006.4983333,-1,167946239.53999996,-225929213.40999997,291845210.8371111,-1,225929213.40999997,-2220801139.46,587303714.9395303,-1,2220801139.46,-1.6537818326257065
335310,2023-01-25 00:00:00,portal*,Fantom,1887843.73,Portal,Bridge,Portal,-62236.310000000056,-62236.310000000056,1,1,1303639.8399999999,1,1303639.8399999999,-62236.310000000056,1887843.73,-1,62236.310000000056,152791.50000000012,1799622.7042857143,1,152791.50000000012,376638.70999999996,1665616.8926666668,1,376638.70999999996,365676.42999999993,1585146.4286666668,1,365676.42999999993,978725.02,1308686.100611111,1,978725.02,1303639.8399999999,980243.6852348993,1,1303639.8399999999,-3.29668759182732
335311,2023-01-25 00:00:00,portal*,Karura,2607.87,Portal,Bridge,Portal,-1.430000000000291,-1.430000000000291,1,1,2589.90999999999,1,2589.90999999999,-1.430000000000291,2607.87,-1,1.430000000000291,-1.5,2610.0257142857145,-1,1.5,-3.269999999999982,2610.218333333333,-1,3.269999999999982,-111173.15000000001,16582.91,-1,111173.15000000001,2589.76999999999,59096.637,1,2589.76999999999,2589.90999999999,52924.2263681592,1,2589.90999999999,-0.05483402163452515
335312,2023-01-25 00:00:00,portal*,Klaytn,45623.35,Portal,Bridge,Portal,-41.81000000000495,-41.81000000000495,1,1,45623.35,1,45623.35,-41.81000000000495,45623.35,-1,41.81000000000495,-29.910000000003492,45643.759999999995,-1,29.910000000003492,-115.08000000000175,45674.53766666666,-1,115.08000000000175,45523.56,40117.53555555556,1,45523.56,45623.35,21634.295808383235,1,45623.35,45623.35,21634.295808383235,1,45623.35,-0.09164167032891041
335313,2023-01-25 00:00:00,portal*,Moonbeam,1384.21,Portal,Bridge,Portal,-43.07999999999993,-43.07999999999993,1,1,1367.3500000000001,1,1367.3500000000001,-43.07999999999993,1384.21,-1,43.07999999999993,11.029999999999973,1390.1357142857141,1,11.029999999999973,452.77000000000004,1191.2740000000001,1,452.77000000000004,1160.3000000000002,917.1774444444444,1,1160.3000000000002,1367.3500000000001,809.4717307692307,1,1367.3500000000001,1367.3500000000001,809.4717307692307,1,1367.3500000000001,-3.112244529370538
335314,2023-01-25 00:00:00,portal*,Near,12760721.12,Portal,Bridge,Portal,-1983257.42,-1983257.42,1,1,-8826302.03,-1,8826302.03,-1983257.42,12760721.12,-1,1983257.42,343986.98999999836,13177534.74142857,1,343986.98999999836,1626866.959999999,12043125.226333331,1,1626866.959999999,-6915109.290000001,14101380.988444446,-1,6915109.290000001,-8826302.03,14660164.115,-1,8826302.03,-8826302.03,14660164.115,-1,8826302.03,-15.541891413108479
335315,2023-01-25 00:00:00,portal*,Oasis,168398.42,Portal,Bridge,Portal,-8266.23999999999,-8266.23999999999,1,1,165449.08,1,165449.08,-8266.23999999999,168398.42,-1,8266.23999999999,17649.22,165349.57000000004,1,17649.22,41601.34000000001,141709.96066666668,1,41601.34000000001,-43942.07000000001,149005.43300000002,-1,43942.07000000001,11489.430000000022,181070.79594444443,1,11489.430000000022,165449.08,133316.6193140794,1,165449.08,-4.9087396425690875
335316,2023-01-25 00:00:00,portal*,Polygon,9259903.5,Portal,Bridge,Portal,-85169.73000000045,-85169.73000000045,1,1,-16661901.600000001,-1,16661901.600000001,-85169.73000000045,9259903.5,-1,85169.73000000045,-85497.26999999955,9315026.930000002,-1,85497.26999999955,368023.8499999996,9093562.404666666,1,368023.8499999996,-5801590.43,9785055.747333333,-1,5801590.43,-8263953.809999997,13179221.807444446,-1,8263953.809999997,-16661901.600000001,17663400.991409395,-1,16661901.600000001,-0.9197690883063786
335295,2023-01-25 00:00:00,pooltogether,Avalanche,170669.54038,PoolTogether,Services,PoolTogether,-173.41779329467366,-173.41779329467366,1,1,-1389904.7148772357,-1,1389904.7148772357,-173.41779329467366,170669.54038,-1,173.41779329467366,-3192.9028194219854,171920.70340714284,-1,3192.9028194219854,-42133.86308582645,190592.69032433332,-1,42133.86308582645,-103265.39871714947,217499.429637,-1,103265.39871714947,-911433.4906470893,334044.7915037778,-1,911433.4906470893,-1389904.7148772357,1133416.0522577656,-1,1389904.7148772357,-0.10161027732807776
335294,2023-01-25 00:00:00,poly-network*,xDai,30390.76,Poly Network,Bridge,Poly Network,-231.77000000000044,-231.77000000000044,1,1,-503013.63000000006,-1,503013.63000000006,-231.77000000000044,30390.76,-1,231.77000000000044,-4074.4399999999987,32823.90714285714,-1,4074.4399999999987,-628.8100000000013,33771.707,-1,628.8100000000013,-9103.829999999998,33729.24755555556,-1,9103.829999999998,27829.629999999997,20025.1165,1,27829.629999999997,-503013.63000000006,99907.46508403363,-1,503013.63000000006,-0.7626331161181901
