,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
265614,2023-01-03,qidao,Polygon,22977970.853099998,-20289.74462381107,-20289.74462381107,1,1,-10763527.920184802,-1,10763527.920184802,-20289.74462381107,-1,20289.74462381107,-239169.58085246966,-1,239169.58085246966,3384743.2195142647,1,3384743.2195142647,-1671967.497889553,-1,1671967.497889553,-12712714.37844966,-1,12712714.37844966,-11103451.69808604,-1,11103451.69808604,-0.08830085455989578
265616,2023-01-03,quarry,Solana,28339388.69197,83362.74575904632,83362.74575904632,1,1,-174160685.13937792,-1,174160685.13937792,83362.74575904632,1,83362.74575904632,316908.6960027353,1,316908.6960027353,-7606167.841433367,-1,7606167.841433367,-24173134.287006058,-1,24173134.287006058,-57431334.96293843,-1,57431334.96293843,-174160685.13937792,-1,174160685.13937792,0.29415858847607135
265617,2023-01-03,quickswap-dex,Polygon,126427313.37424,497392.61325000226,497392.61325000226,1,1,78039883.00190003,1,78039883.00190003,497392.61325000226,1,497392.61325000226,-7290672.370140001,-1,7290672.370140001,-34172969.20002,-1,34172969.20002,-124316608.16800003,-1,124316608.16800003,-158804765.96581995,-1,158804765.96581995,78039883.00190003,1,78039883.00190003,0.3934218010135678
265618,2023-01-03,quickswap-v3,Dogechain,1500872.40619,198.30370935757207,198.30370935757207,1,1,-13002.727093403475,-1,13002.727093403475,198.30370935757207,1,198.30370935757207,-1179.104806924795,-1,1179.104806924795,14241.184871597336,1,14241.184871597336,-13002.727093403475,-1,13002.727093403475,-13002.727093403475,-1,13002.727093403475,-13002.727093403475,-1,13002.727093403475,0.013212562809450986
265619,2023-01-03,quickswap-v3,Polygon,32767606.86051,719412.907515678,719412.907515678,1,1,8229847.663058857,1,8229847.663058857,719412.907515678,1,719412.907515678,909374.977713437,1,909374.977713437,-692083.806596183,-1,692083.806596183,8229847.663058857,1,8229847.663058857,8229847.663058857,1,8229847.663058857,8229847.663058857,1,8229847.663058857,2.1955003018016583
265612,2023-01-03,qidao,Moonriver,66.02603,0.0,0.0,1,1,-1655.3217145394253,-1,1655.3217145394253,0.0,1,0.0,0.0,1,0.0,-235.15387103168757,-1,235.15387103168757,-1098.321357183124,-1,1098.321357183124,66.02603000000028,1,66.02603000000028,-1836.2850985316877,-1,1836.2850985316877,0.0
265604,2023-01-03,qidao,Arbitrum,932219.07434,4.7923401917701725,4.7923401917701725,1,1,864756.5082704112,1,864756.5082704112,4.7923401917701725,1,4.7923401917701725,-192.01112258944744,-1,192.01112258944744,4245.123940385484,1,4245.123940385484,-179059.5739238095,-1,179059.5739238095,-135477.902305041,-1,135477.902305041,864756.5082704112,1,864756.5082704112,0.0005140787529114969
265579,2023-01-03,pinksale,Fantom,10948.64227,1.2396796489281172,1.2396796489281172,1,1,10927.45589,1,10927.45589,1.2396796489281172,1,1.2396796489281172,4.8345983732220965,1,4.8345983732220965,-6747.4298375036615,-1,6747.4298375036615,10906.269509999998,1,10906.269509999998,10927.45589,1,10927.45589,10927.45589,1,10927.45589,0.011322679272524238
265602,2023-01-03,pooltogether,Optimism,32194414.93773,-171102.8341600001,-171102.8341600001,1,1,30468441.34201,1,30468441.34201,-171102.8341600001,-1,171102.8341600001,-3954125.75344,-1,3954125.75344,2785257.382659998,1,2785257.382659998,-4848575.165820003,-1,4848575.165820003,30468441.34201,1,30468441.34201,30468441.34201,1,30468441.34201,-0.5314674439369216
265580,2023-01-03,pinksale,Polygon,211437.86213000002,-3027.721060797563,-3027.721060797563,1,1,-56533.49938946729,-1,56533.49938946729,-3027.721060797563,-1,3027.721060797563,-1921.0419041372543,-1,1921.0419041372543,32819.86022915909,1,32819.86022915909,30126.167914987393,1,30126.167914987393,-77584.4712505951,-1,77584.4712505951,-56533.49938946729,-1,56533.49938946729,-1.4319673072252335
265581,2023-01-03,platypus-finance,Avalanche,34856694.10441,52248.41601563139,52248.41601563139,1,1,24918331.46195704,1,24918331.46195704,52248.41601563139,1,52248.41601563139,-194926.50535706594,-1,194926.50535706594,502821.2684705595,1,502821.2684705595,-69185461.24654451,-1,69185461.24654451,-118690576.88233954,-1,118690576.88233954,24850082.080182515,1,24850082.080182515,0.14989492652150574
