,tribe,address,score,attempts
196,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:182,210,1
197,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:478,210,1
198,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:440,209,2
199,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:20,206,4
200,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:265,205,1
201,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:660,204,1
202,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:587,204,2
203,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:542,204,1
204,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:242,204,1
205,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:157,200,1
206,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:184,200,2
207,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:243,199,2
208,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:195,198,3
209,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:309,198,16
210,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:65,197,2
211,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:126,195,3
212,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:27,191,3
213,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:45,190,3
214,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:124,189,2
215,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:239,189,1
216,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:712,189,2
217,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:320,189,3
218,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:290,187,2
219,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:308,183,4
220,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:517,182,2
