,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
268293,2023-01-04 14:59:35,qidao,Moonbeam,16905.92789,-16.553324817021082,-16.553324817021082,1,1,-11397.563721989549,-1,11397.563721989549,-16.553324817021082,-1,16.553324817021082,-3639.0798549422784,-1,3639.0798549422784,-1088.4639421379857,-1,1088.4639421379857,-11397.563721989549,-1,11397.563721989549,-11397.563721989549,-1,11397.563721989549,-11397.563721989549,-1,11397.563721989549,-0.09791432286193835
268294,2023-01-04 14:59:35,qidao,Moonriver,67.94706,0.0,0.0,1,1,-2076.9251895399807,-1,2076.9251895399807,0.0,1,0.0,0.0,1,0.0,-483.6664931500197,-1,483.6664931500197,-1380.1927460500456,-1,1380.1927460500456,-165.7090494608347,-1,165.7090494608347,-2268.6009173810157,-1,2268.6009173810157,0.0
268295,2023-01-04 14:59:35,qidao,Optimism,3575337.6124299997,17962.10915414234,17962.10915414234,1,1,3525813.453731103,1,3525813.453731103,17962.10915414234,1,17962.10915414234,189882.58809864015,1,189882.58809864015,507022.8233937465,1,507022.8233937465,650900.6403716196,1,650900.6403716196,-115145.65883964785,-1,115145.65883964785,3525813.453731103,1,3525813.453731103,0.5023891755479362
268296,2023-01-04 14:59:35,qidao,Polygon,22862539.415909998,-271218.7277937949,-271218.7277937949,1,1,-11626811.360233981,-1,11626811.360233981,-271218.7277937949,-1,271218.7277937949,-467744.9011721859,-1,467744.9011721859,2904447.1271543754,1,2904447.1271543754,-2279550.951328991,-1,2279550.951328991,-13375174.367565062,-1,13375174.367565062,-11826942.57744203,-1,11826942.57744203,-1.1863018488884671
268289,2023-01-04 14:59:35,qidao,Ethereum,5782407.24231,0.0,0.0,1,1,5436277.615273659,1,5436277.615273659,0.0,1,0.0,17148.36744828054,1,17148.36744828054,555864.537468019,1,555864.537468019,994331.7138328088,1,994331.7138328088,5436277.615273659,1,5436277.615273659,5436277.615273659,1,5436277.615273659,0.0
268288,2023-01-04 14:59:35,qidao,Binance,634271.6203000001,0.0,0.0,1,1,617758.8912989119,1,617758.8912989119,0.0,1,0.0,-1088.6433626734108,-1,1088.6433626734108,124645.78268460363,1,124645.78268460363,-62635.624576505244,-1,62635.624576505244,-919240.1493618392,-1,919240.1493618392,617758.8912989119,1,617758.8912989119,0.0
268279,2023-01-04 14:59:35,pnetwork,Ultra,5315102.89771,170213.62098726182,170213.62098726182,1,1,-1290304.8910340422,-1,1290304.8910340422,170213.62098726182,1,170213.62098726182,151834.92328991718,1,151834.92328991718,-359467.79765866033,-1,359467.79765866033,-15073216.353231981,-1,15073216.353231981,-414505.46677504166,-1,414505.46677504166,-1290304.8910340422,-1,1290304.8910340422,3.2024520364525393
268277,2023-01-04 14:59:35,pnetwork,Polygon,3001381.98475,864.1937804523266,864.1937804523266,1,1,-8079437.44025801,-1,8079437.44025801,864.1937804523266,1,864.1937804523266,-7827.775585653321,-1,7827.775585653321,-7183718.375304655,-1,7183718.375304655,-7267161.022262572,-1,7267161.022262572,-8022954.591365374,-1,8022954.591365374,-8079437.44025801,-1,8079437.44025801,0.02879319542941515
268255,2023-01-04 14:59:35,perpetual-protocol,Optimism,17347122.62031,-13703.78900226205,-13703.78900226205,1,1,9556976.242473114,1,9556976.242473114,-13703.78900226205,-1,13703.78900226205,59194.259965499106,1,59194.259965499106,491791.89617123606,1,491791.89617123606,-5490420.152239522,-1,5490420.152239522,-10913761.641772723,-1,10913761.641772723,9592013.100060593,1,9592013.100060593,-0.07899747584776776
268257,2023-01-04 14:59:35,pinksale,Avalanche,257143.01291,5.913910499616352,5.913910499616352,1,1,-42075.258182983845,-1,42075.258182983845,5.913910499616352,1,5.913910499616352,-16094.56980466097,-1,16094.56980466097,-30951.410724401896,-1,30951.410724401896,-84049.11605517422,-1,84049.11605517422,-123781.35376270926,-1,123781.35376270926,-42075.258182983845,-1,42075.258182983845,0.002299852690022816
