,chain,pool_address,pool_name,pool_symbol,pool_assetType_mapped,pool_poolType,pool_coinNames,latest_tvl_usd,avg_daily_volume_usd,totalDailyFeesUSD,days_of_trading
40,fantom,0x075c1d1d7e9e1af077b0b6117c6ea06cd0a260b5,Curve.fi Factory USD Metapool: LAMBDA2pool,LAMBDA2poo3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,LAMBDA",4452564.412765396,94212.40745339943,37.68496298135977,179
41,fantom,0x079d2298a05974ce556c2592dd5c7d20b2364d2d,Curve.fi Factory Plain Pool: FINAL TEST,DAI/STB-f,USD,STABLE_FACTORY,"fDAI,tSTB",20000.0,0.0,0.0,166
42,fantom,0x0fa949783947bf6c1b171db13aeacbb488845b3f,Curve.fi gDAI/gUSDC/gUSDT,g3CRV,USD,LENDING,"gDAI,gUSDC,gfUSDT",5122892.924569545,322903.42226950795,129.1613689078032,179
43,fantom,0x20ed8caa61ba7147a2545dc7f09e241329799d6e,Curve.fi Factory USD Metapool: L3USD - 2pool,L3USD2POOL3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,L3USD",98422.26602751935,21949.642285140555,21.949642285140555,176
44,fantom,0x24699312cb27c26cfc669459d670559e5e44ee60,Curve.fi Factory USD Metapool: TOR-2pool,TOR-2pool3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,TOR",7047594.189588365,350840.8605789296,140.33634423157184,179
45,fantom,0x261036923f4aaf1322a3173921fcbdae51352cae,Curve.fi Factory Plain Pool: axlUSDC/USDC,AXELARUSDC-f,USD,STABLE_FACTORY,"USDC,axlUSDC",410676.6992966162,13597.61049582647,5.439044198330588,178
46,fantom,0x27e611fd27b276acbd5ffd632e5eaebec9761e40,Curve.fi DAI/USDC,DAI+USDC,USD,REGISTRY_V1,"DAI,USDC",7424516.526323516,301046.0282235982,120.41841128943928,179
47,fantom,0x28368d7090421ca544bc89799a2ea8489306e3e5,Curve.fi Factory USD Metapool: Dola-2pool Curve Metapool,DOLA-2POOL3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,DOLA",98910.4417095397,7262.673081819796,2.905069232727919,49
48,fantom,0x2dd7c9371965472e5a5fd28fbe165007c61439e1,Curve.fi Factory Plain Pool: 3poolV2,3poolV2-f,USD,STABLE_FACTORY,"MIM,USDC,fUSDT",445993.1192734215,212975.7650192121,85.19030600768485,179
49,fantom,0x3a1659ddcf2339be3aea159ca010979fb49155ff,Curve.fi USD-BTC-ETH,crv3crypto,Crypto,REGISTRY_V2,"BTC,ETH,fUSDT",1510830.179749,107422.30331299047,153.61757295017304,179
50,fantom,0x4fc8d635c3cb1d0aa123859e2b2587d0ff2707b1,Curve.fi cyDAI/cyUSDC/cyUSDT,ib3CRV,USD,LENDING,"crDAI,crFUSDT,crUSDC",14326.893324969755,2508.827126083111,1.0035308504332443,179
51,fantom,0x60866bc5afd01739ac15c22cb33ce7de42f8d9df,Curve.fi Factory Plain Pool: fDAI/Stable test,DAISTB-f,USD,STABLE_FACTORY,"fDAI,tSTB",19995.482663067734,0.0,0.0,166
52,fantom,0x6e6c999e1893dc2e68b4193108bec307b6c42f96,Curve.fi Factory Plain Pool: L3USD3Pool,L3USD3POOL-f,USD,STABLE_FACTORY,"L3USD,USDC,fUSDT",1356898.9585940526,142986.04017238316,57.19441606895327,176
53,fantom,0x6ef78ad4a40e9a6c81b9229de3ecc33ce591bc34,Curve.fi Factory USD Metapool: Topshelf USDL,USDL-3CRV-f,USD,STABLE_FACTORY,"USDL Stablecoin,g3CRV",20860.661012697325,4447.981409812707,1.7791925639250827,179
54,fantom,0x7a656b342e14f745e2b164890e88017e27ae7320,Curve.fi Factory USD Metapool: FRAX2pool,FRAX2pool3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,FRAX",12242.857253837745,11891.193565145648,4.756477426058259,36
55,fantom,0x7ddde570bfb3a968a2894b491759e7415eea145e,Curve.fi Factory Plain Pool: test DAI/STB,DAI/STB-f,USD,STABLE_FACTORY,"fDAI,tSTB",19995.994826868195,0.0,0.0,166
56,fantom,0x8b63f036f5a34226065bc0a7b0ae5bb5eba1ff3d,Curve.fi Factory Pool: Topshelf FTML,FTM/FTML-f,Other,STABLE_FACTORY,"ETH,Fantom-L",12490.838073069921,337.6180609377453,0.13504722437509814,179
57,fantom,0x92d5ebf3593a92888c25c0abef126583d4b5312e,Curve.fi fUSDT/DAI/USDC,fUSDT+DAI+USDC,USD,METAPOOL_FACTORY,"DAI+USDC,fUSDT",33235.605419404725,4363.031824605637,1.7452127298422546,179
58,fantom,0x96059756980ff6ced0473898d26f0ef828a59820,Curve.fi Factory USD Metapool: Creditum,cUSD3CRV-f,USD,STABLE_FACTORY,"DAI+USDC,cUSD",204693.40641703224,10990.522639593519,4.396209055837408,179
59,fantom,0x9dc516a18775d492c9f061211c8a3fdcd476558d,Curve.fi Factory Plain Pool: 4Pool,4POOL-f,USD,STABLE_FACTORY,"FRAX,USDC,UST,fUSDT",22656.311383236145,2137.3698680038347,0.8549479472015338,179
60,fantom,0xa58f16498c288c357e28ee899873ff2b55d7c437,Curve.fi Factory Plain Pool: MAI3Pool,MAI3Pool-f,USD,STABLE_FACTORY,"USDC,fUSDT,miMATIC",2921005.6505277334,161628.46161522664,64.65138464609066,179
61,fantom,0xa5c3620fae9adb58e0626836a2d03aeb6a26749e,Curve.fi Factory Plain Pool: FINAL TEST,DAI/STB-f,USD,STABLE_FACTORY,"fDAI,tSTB",19992.005365126963,2.409154732613814e-06,9.636618930455257e-10,166
62,fantom,0xa7cc236f81b04c1058e9bfb70e0ee9940e271676,Curve.fi Factory Plain Pool: BUSD 4Pool,BUSD4Pool-f,USD,STABLE_FACTORY,"BUSD,DAI,MIM,USDC",59484.354064586376,4140.9501583823285,2.484570095029397,28
63,fantom,0xad71fc10fca8ce6a98843a64b95e0c63516ca7f3,Curve.fi Factory Plain Pool: 4pool,4pool-f,USD,STABLE_FACTORY,"DAI,MIM,USDC,fUSDT",10349.316573593462,1995.406757580277,0.7981627030321108,42
64,fantom,0xb84d0af96d4eca837843cf6acf8e2fa6acf69765,Curve.fi Factory Plain Pool: fDAI/Stable test,DAISTB-f,USD,STABLE_FACTORY,"fDAI,tSTB",20041.031072881746,0.0,0.0,166
65,fantom,0xc5d1c87cefb14183b86e10336ae274afa1f387e1,Curve.fi Factory Plain Pool: FINAL TEST,DAI/STB-f,USD,STABLE_FACTORY,"fDAI,tSTB",19992.005365126963,0.0,0.0,104
66,fantom,0xc822fc64aad7b04b2edde961c0704ab80f9d217b,Curve.fi Factory Plain Pool: ScreamStable,SCREAMV2-f,USD,STABLE_FACTORY,"scDAI,scFUSDT,scMIM,scUSDC",23650.75000001,0.0,0.0,21
67,harmony,0x061b87122ed14b9526a813209c8a59a633257bab,Curve.fi Factory USD Metapool: sUSD Synthetix,sUSD3CRV-f,USD,STABLE_FACTORY,"3CRV,sUSD",41519382.84102323,2109582.478779073,843.8329915116293,179
68,harmony,0x1337bedc9d22ecbe766df105c9623922a27963ec,Curve.fi DAI/USDC/USDT,3CRV,USD,REGISTRY_V1,"DAI,USDC,USDT",25432634.097750366,1447775.9527360243,512.9317073086019,179
69,harmony,0x29a3d66b30bc4ad674a4fdaf27578b64f6afbfe7,Curve.fi Factory Plain Pool: FRAXBP,FRAXBP-f,USD,STABLE_FACTORY,"FRAX,USDC",1053093.6291921018,40518.41309596489,16.207365238385957,179
70,harmony,0x3da3153e26a230d918bb9f9428a8d60349b73379,Curve.fi Factory Plain Pool: 4pool,4pool-f,USD,STABLE_FACTORY,"FRAX,USDC,USDT,UST",14822.451468953843,141.79404323404728,0.05671761729361891,110
71,harmony,0x6645237fb81fe7227aa2fa2a244d23a5ac0da1cd,Curve.fi Factory USD Metapool: Mai Stablecoin,MAI+3Pool3CRV-f,USD,STABLE_FACTORY,"3CRV,MAI",18735.875251643385,23353.343078515998,9.3413372314064,179
72,harmony,0x7bc5728bc2b59b45a58d9a576e2ffc5f0505b35e,Curve.fi Factory Pool: sETH/ETH,seth-f,ETH,STABLE_FACTORY,"ETH,sETH",24409672.13346179,361458.1846989042,144.58327387956172,179
73,harmony,0x810d1aaa4cd8f21c23bb648f2dfb9dc232a01f09,Curve.fi Factory USD Metapool: MIM,mim3CRV-f,USD,STABLE_FACTORY,"3CRV,MIM",993577.763769651,33721.92911394838,13.488771645579355,25
74,harmony,0x9f2fe3500b1a7e285fdc337acace94c480e00130,Curve.fi Factory Plain Pool: sBTC/wbtc,sbtc-f,BTC,STABLE_FACTORY,"WBTC,sBTC",1366999.2508169643,32507.76919764462,13.003107679057848,179
75,harmony,0xb90b9b1f91a01ea22a182cd84c1e22222e39b415,Curve.fi ETH/wstETH,wstETHCRV,ETH,REGISTRY_V1,"ETH,wstETH",10736515.665346049,3299548.1234411527,1319.819249376461,91
76,mainnet,0x01fe650ef2f8e2982295489ae6adc1413bf6011f,Curve.fi Factory Plain Pool: Tokemak tTCR/TCR,tTCR-f,Other,STABLE_FACTORY,"TCR,tTCR",1595501.260960286,88075.03606435693,35.23001442574277,9
77,mainnet,0x0245918fa513e0641509bb519389a49258a2699f,Curve.fi Factory USD Metapool: ZUSD,ZUSD3CRV-f,USD,STABLE_FACTORY,"3Crv,ZUSD",324019.5360555599,13596.605843472782,5.438642337389113,25
78,mainnet,0x0437ac6109e8a366a1f4816edf312a36952db856,Curve.fi Factory Plain Pool: Tokemak tSUSHI/SUSHI,tSUSHI-f,Other,STABLE_FACTORY,"SUSHI,tSUSHI",652275.7060712704,1473.5363209558136,0.5894145283823254,179
79,mainnet,0x04b727c7e246ca70d496ecf52e6b6280f3c8077d,Curve.fi Factory USD Metapool: apeUSDFRAXBP,APEUSDBP3CRV-f,USD,STABLE_FACTORY,"ApeUSD,crvFRAX",1843748.8730612502,605082.2450323306,242.03289801293226,179
